TID	TIME	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	1577236407214623	2080	2020	0	0	0	2017	0	0
0	1577236407214794	2062	377	0	0	0	377	0	0
0	1577236407214938	2059	71	0	0	0	71	0	0
0	1577236407215081	2057	22	0	0	0	22	0	0
0	1577236407215223	2082	284	0	0	0	284	0	0
0	1577236407215384	2060	2050	0	2048	2048	2050	0	0
0	1577236407215542	2059	29	0	0	0	29	0	0
0	1577236407215685	2057	19	0	0	0	19	0	0
0	1577236407215826	2079	75	0	0	0	75	0	0
0	1577236407215979	2063	149	0	0	0	149	0	0
0	1577236407216122	2057	30	0	0	0	30	0	0
1	1577236407214423	2087	2077	0	0	0	2074	0	0
1	1577236407214614	2069	1025	0	1	1	1025	0	0
1	1577236407214760	2064	70	0	0	0	70	0	0
1	1577236407214903	2062	33	0	0	0	33	0	0
1	1577236407215045	2062	35	0	0	0	35	0	0
1	1577236407215188	2063	36	0	0	0	36	0	0
1	1577236407215350	2062	748	0	0	0	748	0	0
1	1577236407215493	2062	2049	0	0	0	2049	0	0
1	1577236407215637	2062	58	0	0	0	58	0	0
1	1577236407215780	2062	45	0	0	0	45	0	0
