TID	TIME	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	1577236442862369	2091	2014	0	0	0	2011	0	0
0	1577236442862541	2066	350	0	0	0	350	0	0
0	1577236442862685	2060	58	0	0	0	58	0	0
0	1577236442862828	2061	29	0	0	0	29	0	0
0	1577236442862970	2062	13	0	0	0	13	0	0
0	1577236442863113	2061	18	0	0	0	18	0	0
0	1577236442863255	2089	293	0	0	0	295	0	0
0	1577236442863414	2064	395	0	0	0	395	0	0
0	1577236442863556	2060	45	0	0	0	45	0	0
0	1577236442863699	2088	2063	0	2048	2048	2063	0	0
1	1577236442862216	2082	2068	0	0	0	2065	0	0
1	1577236442862405	2073	807	0	0	0	807	0	0
1	1577236442862549	2060	54	0	0	0	54	0	0
1	1577236442862692	2061	47	0	0	0	47	0	0
1	1577236442862835	2062	39	0	0	0	39	0	0
1	1577236442862978	2062	27	0	0	0	27	0	0
1	1577236442863120	2061	22	0	0	0	22	0	0
1	1577236442863261	2087	331	0	0	0	331	0	0
1	1577236442863422	2060	475	0	0	0	475	0	0
1	1577236442863565	2061	23	0	0	0	23	0	0
