TID	TIME	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	1577235442401832	2077	2063	0	0	0	2060	0	0
0	1577235442402004	2065	566	0	0	0	566	0	0
0	1577235442402148	2061	232	0	0	0	232	0	0
0	1577235442402291	2061	133	0	0	0	133	0	0
0	1577235442402433	2064	191	0	0	0	191	0	0
0	1577235442402576	2061	134	0	0	0	134	0	0
0	1577235442402718	2059	63	0	0	0	63	0	0
0	1577235442402859	2059	55	0	0	0	55	0	0
0	1577235442403001	2063	164	0	0	0	164	0	0
0	1577235442403144	2091	2060	0	2048	2048	2060	0	0
1	1577235442401671	2086	2070	1	2048	2048	2067	0	0
1	1577235442401879	2068	955	0	0	0	955	0	0
1	1577235442402024	2061	258	0	0	0	258	0	0
1	1577235442402168	2061	175	0	0	0	175	0	0
1	1577235442402310	2061	201	0	0	0	201	0	0
1	1577235442402453	2061	165	0	0	0	165	0	0
1	1577235442402595	2061	104	0	0	0	104	0	0
1	1577235442402737	2061	98	0	0	0	98	0	0
1	1577235442402878	2061	208	0	0	0	208	0	0
1	1577235442403021	2061	152	0	0	0	152	0	0
