TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	2067	1976	1976	0
0	2062	516	517	0
0	2059	226	227	0
0	2059	225	226	0
0	2059	211	212	0
0	2059	219	220	0
0	2059	223	224	0
0	2059	220	221	0
0	2077	534	535	0
0	2060	590	591	0
