TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	16084	8238	562	0
0	15576	8255	1217	0
0	15957	8227	690	0
0	16041	8229	591	0
0	16077	8228	545	0
0	15978	8228	664	0
0	16062	8228	564	0
0	15992	8227	648	0
0	16050	8228	578	0
0	15936	8227	715	0
