TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	4123	4043	4045	7
0	4108	2844	2845	0
0	4107	2409	2410	0
0	4107	2386	2387	0
0	4108	2374	2375	0
0	4109	2383	2384	0
0	4107	2375	2376	0
0	4107	2384	2385	0
0	4107	2383	2384	0
0	4106	2390	2391	0
1	4116	2727	2727	0
1	4109	2773	2775	0
1	4106	2365	2365	0
1	4106	2346	2346	0
1	4106	2333	2334	0
1	4106	2341	2342	0
1	4106	2341	2341	0
1	4106	2334	2335	0
1	4106	2340	2341	0
1	4106	2348	2349	0
