TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	270490617	136753660	4657703	3379258
0	270493943	136755415	4656854	3377357
0	270501633	136755889	4656258	3376884
0	270491500	136756997	4659059	3378880
0	270496920	136755597	4656692	3377000
0	270495755	136756455	4662460	3382971
0	270498233	136757708	4660136	3379540
0	270492308	136759604	4665158	3383535
0	270492886	136756797	4659324	3379514
0	270495231	136758230	4660581	3379134
