TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	8	3	2	0
0	4	1	1	0
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
