TID	L2_REFS	L2_MISSES	L3_REFS	L3_MISSES
0	13815	8117	684	0
0	13783	8143	727	0
0	13903	8162	595	0
0	13783	8138	704	0
0	13722	8129	771	0
0	13814	8145	671	0
0	13714	8127	767	0
0	13552	8129	959	0
0	13835	8148	676	0
0	13730	8133	756	0
